Wall time,Step,Value
1571903358.005786,19,0.0
1571903407.808025,43,0.0
1571903414.935264,46,0.0
1571903470.7617207,72,0.0
1571903519.7358654,95,0.0
1571903653.7360933,159,0.0
1571903673.1674502,168,0.0
1571903803.615381,230,0.0
1571903814.1896565,235,0.0
1571903860.260738,256,0.0
1571903897.525751,274,0.0
1571903971.817475,309,0.0
1571903976.0908556,311,0.0
1571903993.330272,319,0.0
1571904212.2771492,422,0.0
1571904296.3667655,461,0.0
1571904325.262025,475,0.0
1571904457.4145184,537,0.0
1571904517.745572,564,0.0
1571904553.8456364,580,0.0
1571904568.6459494,587,0.0
1571904673.5447376,635,0.0
1571904701.5916836,648,0.0
1571904732.1403868,662,0.0
1571904753.2272031,672,0.0
1571904846.006387,715,0.0
1571904863.203819,723,0.0
1571904969.3417141,772,0.0
1571904999.7001746,786,0.0
1571905003.7641485,788,0.0
1571905035.8452291,803,0.0
1571905049.6042776,809,0.0
1571905112.5865579,837,0.0
1571905352.5020103,946,0.0
1571905409.6241415,972,0.0
1571905411.85467,973,0.0
1571905424.5969262,979,0.0
1571905485.190528,1006,0.0
1571905506.5125127,1015,0.0
1571905614.3297694,1064,0.0
1571905620.7110796,1067,0.0
1571905680.5721455,1094,0.0
1571905705.772803,1105,0.0
1571905839.178086,1162,0.0
1571905881.800813,1181,0.0
1571906066.0892377,1262,0.0
1571906191.8339171,1317,0.0
1571906199.0104825,1320,0.0
1571906230.8035705,1334,0.0
1571906239.9579718,1338,0.0
1571906351.4160707,1386,0.0
1571906366.792618,1393,0.0
1571906418.9232702,1415,0.0
1571906446.7710345,1427,0.0
1571906470.4523573,1437,0.0
1571906541.1203825,1467,0.0
1571906567.7455919,1478,0.0
1571906605.6595478,1492,1.0
1571906680.8943844,1524,0.0
1571906750.6005886,1553,0.0
1571906791.0273893,1569,1.0
1571906831.6031854,1585,0.0
1571906843.4188168,1589,0.0
1571906883.2811322,1606,0.0
1571906966.6820252,1641,0.0
1571907081.2118328,1692,0.0
1571907128.104645,1710,0.0
1571907151.724048,1719,0.0
1571907184.1996086,1733,0.0
1571907188.7315438,1735,0.0
1571907195.211695,1738,0.0
1571907302.2180355,1782,0.0
1571907408.4928455,1827,0.0
1571907451.1584377,1845,0.0
1571907473.09964,1854,0.0
1571907505.9279199,1867,0.0
1571907512.6848621,1870,0.0
1571907530.563152,1878,0.0
1571907624.0127423,1918,0.0
1571907665.347383,1935,1.0
1571907700.2678359,1948,0.0
1571907831.4895937,2002,0.0
1571907911.7381523,2037,0.0
1571908006.3735077,2078,0.0
1571908050.125772,2097,0.0
1571908267.360818,2188,0.0
1571908299.913148,2200,0.0
1571908328.3962493,2212,0.0
1571908375.5523784,2232,0.0
1571908386.4358168,2237,0.0
1571908388.5409155,2238,0.0
1571908437.86265,2258,0.0
1571908448.662792,2263,0.0
1571908556.9349518,2308,0.0
1571908587.3841567,2320,0.0
1571908670.4598687,2355,1.0
1571908760.3283234,2390,0.0
1571908762.522181,2391,0.0
1571908766.7223065,2393,0.0
1571908878.322481,2437,0.0
1571908916.5647254,2454,0.0
1571908920.781757,2456,0.0
1571908931.5406823,2461,0.0
1571908989.5654335,2486,0.0
1571908991.5967693,2487,0.0
1571909014.4839902,2497,1.0
1571909020.2885857,2499,1.0
1571909030.8981535,2504,0.0
1571909099.1319017,2533,0.0
1571909137.264725,2548,0.0
1571909150.7727907,2554,1.0
1571909475.7949426,2686,0.0
1571909607.1557438,2741,0.0
1571909642.5693164,2755,0.0
1571909726.329432,2790,0.0
1571909983.1941233,2897,0.0
1571910147.539026,2968,0.0
1571910255.4493563,3012,0.0
1571910320.2338655,3039,0.0
1571910326.7536669,3042,0.0
1571910468.944367,3100,0.0
1571910615.6506793,3162,0.0
1571910698.3923662,3197,0.0
1571910781.1473336,3231,0.0
1571910813.967018,3245,0.0
1571910818.3968432,3247,0.0
1571910821.3580534,3248,1.0
1571910957.9288142,3306,0.0
1571911125.135413,3377,0.0
1571911203.4998407,3409,0.0
1571911257.6542206,3431,0.0
1571911308.5815105,3450,0.0
1571911382.1721752,3481,0.0
1571911678.549669,3601,1.0
1571911718.6313987,3619,0.0
1571911722.8716755,3621,0.0
1571911847.5005395,3671,0.0
1571911989.5418398,3727,0.0
1571912028.001441,3742,0.0
1571912154.0495555,3794,0.0
1571912203.8962424,3815,1.0
