Wall time,Step,Value
1571903736.0606415,19,0.0
1571903766.3115587,43,0.0
1571903773.0030892,46,0.0
1571903826.1636138,72,0.0
1571903877.6371086,95,0.0
1571904006.9070325,159,1.0
1571904022.462307,168,0.0
1571904136.9628031,230,0.0
1571904141.4177728,235,0.0
1571904185.4120362,256,0.0
1571904223.7780848,274,0.0
1571904302.7353945,309,0.0
1571904307.5945537,311,0.0
1571904323.0057034,319,0.0
1571904548.4859252,422,0.0
1571904637.4415793,461,0.0
1571904670.6911442,475,0.0
1571904817.1023428,537,0.0
1571904879.7248452,564,0.0
1571904916.7621362,580,0.0
1571904933.0442438,587,0.0
1571904935.2541916,588,0.0
1571905040.6063273,635,0.0
1571905071.4558685,648,0.0
1571905105.0853517,662,0.0
1571905129.1490598,672,0.0
1571905230.8799608,715,0.0
1571905249.457122,723,0.0
1571905345.5372365,766,0.0
1571905359.926719,772,0.0
1571905392.569469,786,0.0
1571905397.2719336,788,0.0
1571905431.5979164,803,0.0
1571905445.448963,809,0.0
1571905508.762762,837,0.0
1571905756.6292388,946,0.0
1571905816.8545988,972,0.0
1571905819.3544989,973,0.0
1571905832.8889894,979,0.0
1571905893.4019232,1006,0.0
1571905913.5128589,1015,0.0
1571906024.9549117,1064,0.0
1571906031.8002057,1067,0.0
1571906088.881768,1094,0.0
1571906114.5539744,1105,0.0
1571906242.1408274,1162,0.0
1571906288.216689,1181,0.0
1571906474.45765,1262,0.0
1571906601.0718613,1317,0.0
1571906608.356839,1320,0.0
1571906639.3410525,1334,0.0
1571906649.1881661,1338,0.0
1571906759.7824507,1386,0.0
1571906776.1898592,1393,0.0
1571906828.213548,1415,0.0
1571906857.2972796,1427,0.0
1571906881.141311,1437,0.0
1571906953.014049,1467,0.0
1571906978.8877952,1478,0.0
1571907010.1238117,1492,0.0
1571907084.5213509,1524,0.0
1571907151.6807606,1553,0.0
1571907190.0607548,1569,0.0
1571907227.8226898,1585,0.0
1571907237.791055,1589,0.0
1571907277.3231819,1606,0.0
1571907360.2696376,1641,0.0
1571907479.6303184,1692,0.0
1571907521.1448998,1710,0.0
1571907542.3102815,1719,0.0
1571907575.1063802,1733,0.0
1571907580.0467348,1735,0.0
1571907586.787866,1738,0.0
1571907687.5663774,1782,0.0
1571907793.7480915,1827,0.0
1571907836.1631281,1845,0.0
1571907857.1369479,1854,0.0
1571907888.158946,1867,0.0
1571907895.1712997,1870,0.0
1571907912.6489897,1878,0.0
1571908007.8882487,1918,0.0
1571908042.8691611,1935,0.0
1571908072.6497939,1948,0.0
1571908196.9734435,2002,0.0
1571908277.6787589,2037,0.0
1571908374.230923,2078,0.0
1571908393.498099,2086,0.0
1571908403.0233848,2090,0.0
1571908420.2243457,2097,0.0
1571908635.2163696,2188,0.0
1571908664.0578933,2200,0.0
1571908691.7470138,2212,0.0
1571908738.730443,2232,0.0
1571908750.573272,2237,0.0
1571908752.9174101,2238,0.0
1571908798.9764397,2258,0.0
1571908810.7115154,2263,0.0
1571908917.5850446,2308,0.0
1571908944.2269847,2320,0.0
1571909024.6798518,2355,0.0
1571909104.803104,2390,0.0
1571909106.9127324,2391,0.0
1571909111.6380296,2393,0.0
1571909213.8549497,2437,0.0
1571909253.6714473,2454,0.0
1571909260.3542886,2456,0.0
1571909272.9364915,2461,0.0
1571909334.3856976,2486,0.0
1571909336.8989048,2487,0.0
1571909357.144738,2497,0.0
1571909361.809557,2499,0.0
1571909373.7840264,2504,0.0
1571909441.900113,2533,0.0
1571909476.5814714,2548,0.0
1571909491.2395473,2554,0.0
1571909805.7591386,2686,0.0
1571909937.9178376,2741,0.0
1571909971.919077,2755,0.0
1571910053.923053,2790,0.0
1571910317.7541592,2897,0.0
1571910484.1420503,2968,0.0
1571910589.9257407,3012,0.0
1571910657.2003682,3039,0.0
1571910664.2262905,3042,0.0
1571910805.357844,3100,0.0
1571910954.2986898,3162,0.0
1571911037.9180403,3197,0.0
1571911121.310311,3231,0.0
1571911155.1668966,3245,0.0
1571911159.967872,3247,0.0
1571911162.7299132,3248,0.0
1571911304.0346332,3306,1.0
1571911477.891214,3377,0.0
1571911555.1506798,3409,0.0
1571911610.1181347,3431,0.0
1571911654.8323455,3450,0.0
1571911694.9108148,3465,0.0
1571911734.4454243,3481,0.0
1571912053.099646,3601,0.0
1571912101.2034023,3619,1.0
1571912106.392566,3621,0.0
1571912239.4287145,3671,0.0
1571912393.7900372,3727,0.0
1571912433.0686133,3742,1.0
1571912567.1101,3794,0.0
1571912625.2483504,3815,0.0
1571912639.1093035,3820,1.0
1571912644.5961235,3822,0.0
