Wall time,Step,Value
1567006720.1279464,19,0.0
1567006760.4801662,43,0.0
1567006766.3039024,46,0.0
1567006811.920916,72,0.0
1567006852.3210669,95,0.0
1567006963.7292223,159,0.0
1567006979.5628636,168,0.0
1567007086.800245,230,0.0
1567007095.4330373,235,0.0
1567007131.837254,256,0.0
1567007163.1764483,274,0.0
1567007223.8063881,309,0.0
1567007227.2440696,311,0.0
1567007240.9246006,319,0.0
1567007421.6005075,422,0.0
1567007489.2465467,461,0.0
1567007513.3659475,475,0.0
1567007622.5128253,537,0.0
1567007670.4952612,564,0.0
1567007699.1994424,580,0.0
1567007711.2606823,587,0.0
1567007795.6630347,635,0.0
1567007819.2417598,648,0.0
1567007844.7013233,662,0.0
1567007862.1641304,672,0.0
1567007938.9572346,715,0.0
1567007952.7524943,723,0.0
1567008039.3580768,772,0.0
1567008064.3737774,786,0.0
1567008068.0838478,788,0.0
1567008094.9298148,803,0.0
1567008105.3568327,809,0.0
1567008156.9447606,837,0.0
1567008353.7665548,946,0.0
1567008400.5937788,972,0.0
1567008402.3962219,973,0.0
1567008413.2976859,979,0.0
1567008462.5771112,1006,0.0
1567008478.6417124,1015,0.0
1567008565.8290493,1064,0.0
1567008571.0621061,1067,0.0
1567008619.8814466,1094,0.0
1567008639.528636,1105,0.0
1567008740.5297136,1162,0.0
1567008775.675107,1181,0.0
1567008921.8714163,1262,0.0
1567009023.129607,1317,0.0
1567009029.6110196,1320,1.0
1567009054.7552156,1334,0.0
1567009061.845375,1338,0.0
1567009148.8625605,1386,0.0
1567009161.1296697,1393,0.0
1567009199.7381675,1415,0.0
1567009220.4353614,1427,0.0
1567009238.997989,1437,1.0
1567009293.0242434,1467,0.0
1567009312.0491257,1478,0.0
1567009337.8125951,1492,0.0
1567009395.391839,1524,0.0
1567009447.4732702,1553,0.0
1567009478.3397312,1569,1.0
1567009507.3361614,1585,0.0
1567009514.2394228,1589,0.0
1567009544.36102,1606,0.0
1567009608.9896944,1641,0.0
1567009703.2067432,1692,0.0
1567009736.0560856,1710,1.0
1567009752.6855018,1719,0.0
1567009777.4653072,1733,0.0
1567009780.8810723,1735,0.0
1567009785.9481373,1738,0.0
1567009866.124049,1782,0.0
1567009947.8123326,1827,0.0
1567009980.9024763,1845,0.0
1567009996.2433996,1854,0.0
1567010019.9998918,1867,0.0
1567010025.490851,1870,0.0
1567010041.6181252,1878,1.0
1567010115.0371335,1918,0.0
1567010145.064865,1935,0.0
1567010168.8147712,1948,0.0
1567010267.1017303,2002,0.0
1567010333.5485594,2037,1.0
1567010408.5581374,2078,0.0
1567010442.3713703,2097,0.0
1567010618.818443,2188,0.0
1567010639.9201758,2200,0.0
1567010665.781443,2212,0.0
1567010700.9341347,2232,0.0
1567010709.7240999,2237,0.0
1567010711.4803205,2238,0.0
1567010747.250259,2258,0.0
1567010757.4324992,2263,0.0
1567010841.3807273,2308,0.0
1567010865.8296642,2320,0.0
1567010934.5465982,2355,0.0
1567011000.1035984,2390,0.0
1567011001.8289835,2391,0.0
1567011005.929313,2393,1.0
1567011089.0997128,2437,0.0
1567011119.2072945,2454,0.0
1567011123.9934783,2456,0.0
1567011132.419992,2461,0.0
1567011178.4863803,2486,0.0
1567011180.1589363,2487,0.0
1567011200.43378,2497,0.0
1567011205.1084046,2499,0.0
1567011219.0780742,2504,2.0
1567011273.7476714,2533,0.0
1567011303.5543857,2548,0.0
1567011314.1741076,2554,0.0
1567011561.1204934,2686,0.0
1567011665.258392,2741,0.0
1567011693.253325,2755,0.0
1567011755.158952,2790,0.0
1567011959.971159,2897,0.0
1567012099.9456036,2968,0.0
1567012185.306875,3012,0.0
1567012237.4358532,3039,0.0
1567012242.6481342,3042,0.0
1567012349.0301638,3100,0.0
1567012474.181087,3162,0.0
1567012539.5126646,3197,0.0
1567012602.155151,3231,1.0
1567012627.6960897,3245,0.0
1567012631.1301224,3247,0.0
1567012632.7941449,3248,0.0
1567012740.615816,3306,0.0
1567012877.756541,3377,0.0
1567012939.467497,3409,0.0
1567012983.3235338,3431,0.0
1567013019.8243256,3450,1.0
1567013081.3255646,3481,0.0
1567013323.2674744,3601,0.0
1567013355.090947,3619,0.0
1567013358.6425936,3621,0.0
1567013457.7512155,3671,0.0
1567013567.2292938,3727,0.0
1567013594.9207668,3742,0.0
1567013692.7595978,3794,1.0
1567013733.781743,3815,0.0
1567013744.7832441,3820,0.0
1567013748.2181597,3822,0.0
1567013827.9924903,3865,0.0
1567013951.1517498,3929,0.0
1567014000.742792,3957,1.0
1567014053.3309696,3985,0.0
1567014158.956721,4037,1.0
1567014282.4671636,4099,0.0
1567014302.317238,4110,0.0
1567014443.8319864,4183,0.0
1567014469.6932805,4197,1.0
1567014479.978295,4203,0.0
1567014532.6040955,4228,2.0
1567014542.3744738,4233,0.0
1567014602.7888846,4264,0.0
1567014682.0728893,4305,2.0
1567014705.7357404,4318,0.0
1567014709.1477535,4320,0.0
1567014870.538699,4401,0.0
1567014938.2636545,4434,1.0
1567015050.3247077,4493,0.0
1567015082.9806933,4510,0.0
1567015124.141467,4531,0.0
1567015326.7257776,4629,1.0
1567015397.59187,4665,0.0
1567015405.792127,4669,0.0
1567015421.042258,4677,0.0
1567015575.669232,4751,1.0
1567015659.555409,4789,1.0
1567015687.0870986,4801,0.0
1567015690.5257056,4803,0.0
1567015767.099066,4841,0.0
1567015790.7412667,4853,0.0
1567015876.8742833,4895,1.0
1567016025.5505886,4963,1.0
1567016043.8877747,4972,0.0
1567016049.5143087,4975,0.0
1567016204.013901,5051,1.0
1567016208.4332702,5053,1.0
1567016323.2430665,5107,0.0
1567016377.5813792,5135,0.0
1567016514.4443245,5201,1.0
1567016598.4264238,5240,0.0
1567016784.3706155,5330,0.0
1567016814.5920217,5346,0.0
1567016844.49589,5360,3.0
1567016975.3106318,5421,1.0
1567017020.1421137,5443,0.0
1567017168.9663672,5516,0.0
1567017173.5694993,5518,0.0
1567017236.3279102,5550,0.0
1567017310.5356364,5588,0.0
1567017462.572309,5661,1.0
1567017469.5012407,5665,0.0
1567017500.4556746,5680,0.0
1567017587.8812315,5721,1.0
1567017595.521451,5724,0.0
1567017777.3059218,5809,1.0
1567017814.9549656,5826,0.0
1567017821.483696,5829,1.0
1567017890.6413639,5863,0.0
1567017895.0317547,5865,1.0
1567017908.8544433,5872,0.0
1567017979.6740565,5908,1.0
1567018023.1898715,5929,0.0
1567018074.0374534,5953,0.0
1567018093.9944644,5964,0.0
1567018154.2589245,5991,0.0
1567018199.5758295,6011,1.0
1567018208.0628405,6016,0.0
1567018419.739617,6122,0.0
1567018438.0226743,6132,0.0
1567018536.981709,6182,0.0
1567018576.032946,6201,1.0
1567018601.2321937,6214,0.0
1567018615.4169114,6220,0.0
1567018641.0589397,6233,1.0
1567018765.4460957,6290,1.0
1567018810.833657,6313,0.0
1567018821.6230218,6318,1.0
1567018876.9746525,6342,2.0
1567018925.3198557,6364,0.0
1567018953.9778907,6377,0.0
1567019008.2105606,6401,1.0
1567019207.753098,6497,1.0
1567019252.6210105,6521,0.0
1567019376.2528737,6575,0.0
1567019396.9310672,6585,0.0
1567019438.0797088,6604,0.0
1567019548.970638,6658,0.0
1567019567.8373647,6667,2.0
1567019630.2182121,6697,0.0
1567019635.3796074,6700,0.0
1567019661.7952993,6712,1.0
1567019722.8376741,6739,1.0
1567019730.0195591,6743,0.0
1567019950.526112,6847,0.0
1567019973.2590938,6855,0.0
1567020005.3365912,6870,0.0
1567020233.8889978,6967,0.0
1567020285.5675845,6993,1.0
1567020333.295167,7015,1.0
1567020543.4938242,7107,1.0
1567020564.0148113,7115,1.0
1567020650.644416,7156,0.0
1567020774.9114826,7217,0.0
1567020837.157756,7248,0.0
1567020975.232877,7312,0.0
1567021012.3162315,7330,1.0
1567021032.8865442,7340,0.0
1567021034.6405225,7341,0.0
1567021076.6384609,7360,0.0
1567021126.107855,7383,0.0
1567021165.693576,7402,2.0
1567021249.2204146,7441,1.0
1567021272.5751715,7451,0.0
1567021295.97976,7461,0.0
1567021301.1799598,7464,0.0
1567021335.744083,7479,1.0
1567021412.4465842,7512,3.0
1567021626.3136706,7610,0.0
1567021701.8863764,7645,0.0
1567021746.8174963,7662,0.0
1567021808.594936,7688,1.0
1567021819.3047237,7694,0.0
1567021966.6642563,7761,0.0
1567022008.708735,7781,0.0
1567022024.3111176,7789,0.0
1567022044.806966,7799,0.0
1567022121.9844956,7834,1.0
1567022283.494398,7901,0.0
1567022344.5075982,7933,0.0
1567022468.243157,7992,0.0
1567022548.1263921,8027,0.0
1567022574.0616004,8038,1.0
1567022598.7112823,8050,1.0
1567022636.0735621,8067,0.0
1567022878.8597693,8181,0.0
1567022887.4131825,8185,1.0
1567022955.5978463,8216,0.0
1567022966.7510371,8222,0.0
1567023112.6116362,8291,0.0
1567023219.706801,8335,0.0
1567023233.9153397,8341,0.0
1567023289.1216507,8364,0.0
1567023300.6111555,8369,0.0
1567023323.9989657,8378,3.0
1567023536.8661296,8468,0.0
1567023542.8726337,8471,1.0
1567023605.5324337,8499,0.0
1567023627.9758894,8509,0.0
1567023754.958616,8567,0.0
1567023834.4138367,8602,0.0
1567023907.9067767,8635,0.0
1567023909.7379246,8636,0.0
1567023928.2449303,8645,0.0
1567024027.4464917,8691,2.0
1567024037.7465613,8696,1.0
1567024317.0229838,8820,0.0
1567024322.2907834,8823,0.0
1567024369.0029938,8844,0.0
1567024453.5853703,8879,0.0
1567024467.114243,8886,0.0
1567024501.44659,8903,1.0
1567024506.1797628,8905,0.0
1567024511.6345248,8908,0.0
1567024557.4812508,8929,0.0
1567024574.4282546,8936,1.0
1567024638.6022675,8959,0.0
1567024676.6280496,8976,1.0
1567024716.8218334,8994,0.0
1567024730.4303071,9000,0.0
1567024752.5661173,9010,0.0
1567024857.4250238,9056,1.0
1567024879.598727,9064,0.0
1567025245.4571657,9227,0.0
1567025262.4267535,9234,1.0
1567025324.4087253,9261,1.0
1567025429.713847,9308,0.0
1567025451.0226994,9317,0.0
1567025531.080168,9349,1.0
1567025578.390522,9370,0.0
1567025679.8968577,9413,1.0
1567025686.2881064,9416,1.0
1567025737.0575383,9436,1.0
1567025752.762614,9443,2.0
1567025812.377605,9469,0.0
1567025980.4735465,9539,0.0
1567025999.4240415,9548,0.0
1567026017.55048,9555,1.0
1567026052.651457,9568,2.0
1567026106.8856695,9590,0.0
1567026202.1732953,9628,3.0
1567026277.2200723,9658,4.0
1567026337.2433705,9681,1.0
1567026381.347598,9699,0.0
1567026546.842926,9769,1.0
1567026721.6127253,9841,2.0
1567026726.8417473,9844,0.0
1567026826.651165,9884,0.0
1567026886.3617618,9908,1.0
1567027046.9797122,9973,0.0
1567027227.3484592,10051,0.0
1567027241.9822996,10056,0.0
1567027247.7176743,10059,0.0
1567027304.4405038,10085,0.0
1567027412.9989817,10129,0.0
1567027446.491908,10145,0.0
1567027497.9377353,10169,2.0
1567027548.5447223,10186,3.0
1567027731.1928623,10257,2.0
1567027784.2776384,10277,1.0
1567027800.0585265,10284,1.0
1567028109.7239885,10397,2.0
1567028116.8834362,10400,1.0
1567028165.4884043,10421,0.0
1567028319.4324167,10480,1.0
1567028344.9574482,10490,1.0
1567028351.7706296,10494,0.0
1567028411.1392817,10523,1.0
1567028493.8305268,10555,2.0
1567028495.5511055,10556,0.0
1567028617.1808722,10608,0.0
1567028658.5509117,10625,1.0
1567028693.6234732,10639,0.0
1567028733.8198454,10655,1.0
1567028778.9255667,10672,1.0
1567028878.8688579,10712,2.0
1567028999.3168945,10758,0.0
1567029001.0554817,10759,0.0
1567029058.045699,10781,1.0
1567029077.6641622,10788,0.0
1567029153.3757725,10816,0.0
1567029180.9421813,10826,0.0
1567029193.7084773,10831,1.0
1567029215.685441,10842,0.0
1567029238.012826,10851,1.0
1567029279.242335,10865,0.0
1567029370.02354,10903,2.0
1567029375.9659948,10906,0.0
1567029455.1278594,10940,1.0
1567029463.1555645,10944,0.0
1567029523.691384,10967,6.0
1567029539.596614,10973,1.0
1567029543.2802758,10975,0.0
1567029652.9294977,11015,0.0
1567029664.683924,11021,0.0
1567029702.8542063,11034,0.0
1567029715.7823474,11039,0.0
1567029878.4501154,11103,4.0
1567029920.6792579,11122,1.0
1567029938.7486637,11131,0.0
1567030049.455757,11176,2.0
1567030094.8725615,11199,1.0
1567030098.648862,11201,0.0
1567030100.3590305,11202,0.0
1567030256.150935,11261,1.0
1567030288.6166437,11273,0.0
1567030671.3075757,11420,0.0
1567030798.2679987,11473,0.0
1567030849.883619,11493,1.0
1567030925.2708323,11524,0.0
1567030947.9558687,11533,1.0
1567030983.8707693,11550,2.0
1567031005.2896411,11558,1.0
1567031025.4169111,11567,1.0
1567031101.966333,11598,0.0
1567031219.4824674,11637,0.0
1567031261.2638323,11649,0.0
1567031313.7749991,11672,1.0
1567031350.3940513,11686,1.0
1567031353.8477833,11688,0.0
1567031541.1471434,11760,1.0
1567031733.510249,11832,0.0
1567031851.744919,11874,0.0
1567032040.2102237,11949,1.0
1567032092.5391102,11970,1.0
1567032105.9723606,11975,0.0
1567032146.1750097,11989,0.0
1567032193.3734229,12004,5.0
1567032210.9535728,12011,0.0
1567032259.0966578,12030,1.0
1567032294.6787782,12042,0.0
1567032572.237893,12139,1.0
